date,ticker,open,high,low,close,adj_close,volume,return_1d,return_lag_1,return_lag_3,return_lag_7,roll_mean_5,roll_std_5,log_price
2023-01-13,AAPL,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,132.75717163085938,57809700.0,0.010118983418158312,-0.0005993004255323564,0.004456400854720766,0.010314288866963173,0.007835507075531711,0.008337919472570001,4.888521682247455
2023-01-17,AAPL,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,133.9196319580078,63646600.0,0.008756290246832998,0.010118983418158312,0.021112199949029575,-0.010604611675491982,0.00876891480864186,0.008070637613650119,4.897239858514627
2023-01-18,AAPL,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,133.2005157470703,69672800.0,-0.0053697594626229694,0.008756290246832998,-0.0005993004255323564,0.03679377724812549,0.006803682745173112,0.010277820953309973,4.891855630073795
2023-01-19,AAPL,134.0800018310547,136.25,133.77000427246094,135.27000427246094,133.2596435546875,58280400.0,0.0004439007408159057,-0.0053697594626229694,0.010118983418158312,0.0040892515812822605,0.002670022903530378,0.00657289620964439,4.892299432319824
2023-01-20,AAPL,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,135.8209686279297,80223600.0,0.019220560740814685,0.0004439007408159057,0.008756290246832998,0.004456400854720766,0.006633995136799786,0.009453548363892282,4.911337611363423
2023-01-23,AAPL,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,139.0128173828125,81760300.0,0.02350041224950039,0.019220560740814685,-0.0053697594626229694,0.021112199949029575,0.009310280903068202,0.012186023367556587,4.934566140266623
2023-01-24,AAPL,140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,140.41172790527344,66435100.0,0.010063176538668506,0.02350041224950039,0.0004439007408159057,-0.0005993004255323564,0.009571658161435303,0.01218518586125683,4.944579020191942
2023-01-25,AAPL,140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,139.75164794921875,65799300.0,-0.004701031501442632,0.010063176538668506,0.019220560740814685,0.010118983418158312,0.009705403753671371,0.011982166833179464,4.939866904088893
2023-01-26,AAPL,143.1699981689453,144.25,141.89999389648438,143.9600067138672,141.8204345703125,54105100.0,0.014803307520534492,-0.004701031501442632,0.02350041224950039,0.008756290246832998,0.012577285109615088,0.01087731538821235,4.954561712109715
2023-01-27,AAPL,143.16000366210938,147.22999572753906,143.0800018310547,145.92999267578125,143.76116943359375,70555800.0,0.013684451533104491,0.014803307520534492,0.010063176538668506,-0.0053697594626229694,0.011470063268073049,0.010298385377861886,4.968153377066548
2023-01-30,AAPL,144.9600067138672,145.5500030517578,142.85000610351562,143.0,140.87472534179688,64015300.0,-0.020078051000622876,0.013684451533104491,-0.004701031501442632,0.0004439007408159057,0.0027543706180483962,0.01495798023640838,4.9478710226991005
