date,ticker,sentiment_mean,sentiment_max,sentiment_min,sentiment_count,sentiment_index
2023-01-03,AAPL,0.001,0.001,0.001,1,0.0006931471805599453
2023-01-05,AAPL,0.251187,0.251187,0.251187,1,0.17410956084331097
2023-01-12,AAPL,0.174271,0.233677,0.114865,2,0.19145626215848016
2023-01-13,AAPL,0.402375,0.402375,0.402375,1,0.27890509677780795
2023-01-18,GOOG,0.00686,0.00686,0.00686,1,0.004754989658641224
2023-01-19,AAPL,0.001,0.001,0.001,1,0.0006931471805599453
2023-01-25,AAPL,0.001,0.001,0.001,1,0.0006931471805599453
2023-01-25,GOOG,0.001,0.001,0.001,1,0.0006931471805599453
2023-01-26,AAPL,0.148037,0.295074,0.001,2,0.16263526737756098
2023-02-07,AAPL,0.184361,0.184361,0.184361,1,0.12778930735521207
2023-02-07,GOOG,0.282139,0.311079,0.225033,3,0.39112770475200476
2023-02-08,GOOG,0.101041,0.101041,0.101041,1,0.07003628427095744
2023-02-17,AAPL,0.001,0.001,0.001,1,0.0006931471805599453
2023-02-22,AAPL,0.353217,0.353217,0.353217,1,0.2448313676758422
2023-02-23,AAPL,0.001,0.001,0.001,1,0.0006931471805599453
2023-02-26,AAPL,0.001,0.001,0.001,1,0.0006931471805599453
2023-02-28,AAPL,0.600169,0.600169,0.600169,1,0.41600545020948176
2023-02-28,GOOG,0.421159,0.421159,0.421159,1,0.291925173417446
2023-03-01,AAPL,0.082168,0.082168,0.082168,1,0.05695451753224959
2023-03-03,AAPL,0.190019,0.190019,0.190019,1,0.13171113410282023
2023-03-03,GOOG,0.372837,0.372837,0.372837,1,0.2584309153584283
2023-03-07,AAPL,0.031804,0.062608,0.001,2,0.03494026522880056
2023-03-07,GOOG,0.062608,0.062608,0.062608,1,0.04339655868049705
2023-03-09,GOOG,0.300356,0.300356,0.300356,1,0.20819091456426295
2023-03-10,AAPL,0.001,0.001,0.001,1,0.0006931471805599453
2023-03-12,AAPL,0.228044,0.228044,0.228044,1,0.15806805564361215
2023-03-19,AAPL,0.070535,0.070535,0.070535,1,0.048891136380795744
2023-03-21,AAPL,0.300607,0.300607,0.300607,1,0.2083648945065835
2023-03-28,AAPL,0.339061,0.339061,0.339061,1,0.2350191761878356
2023-03-29,AAPL,0.001,0.001,0.001,1,0.0006931471805599453
2023-03-31,AAPL,0.312741,0.312741,0.312741,1,0.21677554239549784
2023-04-03,AAPL,0.229974,0.25177,0.208178,2,0.2526522624741599
2023-04-05,AAPL,0.260535,0.260535,0.260535,1,0.18058910068718537
2023-04-06,AAPL,0.214531,0.214531,0.214531,1,0.14870155779270564
2023-04-10,AAPL,0.343752,0.374618,0.312886,2,0.37765017145424007
2023-04-13,AAPL,0.474114,0.474114,0.474114,1,0.3286307823639979
